,CourseID,ModuleName,ModuleDescription,ModuleDate,ModuleDuration,TeacherID,TranslatorID,LanguageID
0,47,Analiza Matematyczna,"Zaawansowane zagadnienia analizy matematycznej, w tym granice, pochodne i całki.",2025-01-12,15:54:25,70,173,76
1,46,Algebra Liniowa,"Podstawy algebry liniowej, w tym macierze, wektory i przestrzenie wektorowe.",2025-01-18,05:03:09,8,292,52
2,83,Fizyka,"Podstawowe zasady fizyki, w tym mechanika, termodynamika i elektromagnetyzm.",2025-01-19,23:52:38,97,280,64
3,27,Chemia,"Podstawy chemii, w tym struktura atomowa, reakcje chemiczne i równania chemiczne.",2025-01-04,05:06:01,172,65,35
4,53,Biologia,"Podstawy biologii, w tym biologia komórkowa, genetyka i ekologia.",2025-01-11,07:13:50,298,298,51
5,11,Informatyka,"Podstawy informatyki, obejmujące algorytmy, struktury danych i systemy operacyjne.",2025-01-05,14:15:26,139,64,56
6,30,Statystyka,"Podstawy statystyki, w tym analiza danych, testowanie hipotez i regresja.",2025-01-10,00:54:42,107,233,11
7,15,Ekonomia,"Podstawy ekonomii, w tym mikroekonomia, makroekonomia i teoria gier.",2025-01-03,00:30:59,48,75,61
8,9,Zarządzanie,"Podstawy zarządzania, w tym planowanie, organizowanie i kontrola.",2025-01-02,05:56:40,292,127,64
9,82,Prawo,"Podstawy prawa, w tym prawo cywilne, karne i administracyjne.",2025-01-07,11:02:23,180,71,5
