,CourseName,CourseDescription,CourseLength,CoursePrice
0,Podstawy Programowania,"Kurs wprowadzający do podstaw programowania, obejmujący języki takie jak Python i Java.",39,2000
1,Zaawansowana Matematyka,"Zaawansowane zagadnienia matematyczne, w tym algebra, analiza i geometria.",4,2500
2,Wprowadzenie do Fizyki,"Podstawowe zasady fizyki, w tym mechanika, termodynamika i elektromagnetyzm.",13,1000
3,Chemia Organiczna,"Chemia organiczna, obejmująca struktury, reakcje i syntezę związków organicznych.",34,3000
4,Biologia Molekularna,"Biologia molekularna, w tym DNA, RNA, białka i techniki laboratoryjne.",21,2500
5,Podstawy Informatyki,"Podstawy informatyki, obejmujące algorytmy, struktury danych i systemy operacyjne.",27,2000
6,Statystyka i Analiza Danych,"Statystyka i analiza danych, w tym techniki analizy danych i modelowanie statystyczne.",20,2000
7,Podstawy Ekonomii,"Podstawy ekonomii, w tym mikroekonomia, makroekonomia i teoria gier.",22,1000
8,Zarządzanie Projektami,"Zarządzanie projektami, w tym planowanie, realizacja i kontrola projektów.",36,1500
9,Prawo w Biznesie,"Prawo w biznesie, obejmujące prawo handlowe, umowy i regulacje.",31,2000
