,StudieID,InternshipDuration,InternshipStartDate
0,19,60,2025-01-02
1,73,59,2025-01-06
2,23,99,2025-01-10
3,46,93,2025-01-20
4,39,37,2025-01-12
5,21,33,2025-01-18
6,14,87,2025-01-19
7,68,73,2025-01-15
8,91,58,2025-01-03
9,70,39,2025-01-02
10,93,55,2025-01-03
11,66,43,2025-01-08
12,19,43,2025-01-14
13,5,34,2025-01-07
14,77,36,2025-01-10
15,72,48,2025-01-13
16,14,93,2025-01-08
17,42,77,2025-01-08
18,56,75,2025-01-14
19,42,48,2025-01-08
20,65,74,2025-01-15
21,20,67,2025-01-15
22,16,100,2025-01-19
23,13,71,2025-01-16
24,16,25,2025-01-15
25,34,88,2025-01-04
26,24,38,2025-01-05
27,95,47,2025-01-07
28,23,86,2025-01-02
29,38,37,2025-01-06
30,20,62,2025-01-12
31,15,95,2025-01-12
32,18,54,2025-01-01
33,6,38,2025-01-20
34,75,73,2025-01-13
35,89,43,2025-01-13
36,90,97,2025-01-16
37,71,73,2025-01-10
38,37,67,2025-01-08
39,36,79,2025-01-12
40,58,45,2025-01-05
41,81,53,2025-01-10
42,53,68,2025-01-19
43,70,41,2025-01-03
44,52,75,2025-01-05
45,68,52,2025-01-09
46,57,85,2025-01-18
47,19,82,2025-01-06
48,99,29,2025-01-02
49,98,54,2025-01-09
50,8,76,2025-01-12
51,3,87,2025-01-07
52,27,64,2025-01-18
53,93,29,2025-01-20
54,87,25,2025-01-11
55,62,87,2025-01-03
56,56,36,2025-01-18
57,12,83,2025-01-20
58,55,59,2025-01-09
59,3,100,2025-01-05
60,14,76,2025-01-10
61,53,88,2025-01-11
62,5,39,2025-01-11
63,63,95,2025-01-13
64,77,23,2025-01-09
65,10,56,2025-01-09
66,80,73,2025-01-09
67,51,43,2025-01-17
68,15,68,2025-01-18
69,42,93,2025-01-06
70,57,96,2025-01-01
71,69,49,2025-01-11
72,28,24,2025-01-11
73,79,65,2025-01-08
74,82,58,2025-01-17
75,66,54,2025-01-09
76,94,98,2025-01-05
77,12,40,2025-01-02
78,83,85,2025-01-07
79,84,20,2025-01-03
80,24,67,2025-01-06
81,72,71,2025-01-02
82,22,29,2025-01-06
83,20,36,2025-01-16
84,13,49,2025-01-19
85,14,28,2025-01-15
86,4,24,2025-01-05
87,24,40,2025-01-17
88,17,76,2025-01-09
89,73,58,2025-01-05
90,48,55,2025-01-19
91,66,69,2025-01-11
92,27,71,2025-01-08
93,27,40,2025-01-08
94,45,96,2025-01-05
95,40,76,2025-01-08
96,44,97,2025-01-08
97,81,30,2025-01-04
98,5,46,2025-01-11
